seller_id,total_orders,error_orders,error_rate
b839e41795b7f3ad94cc2014a52f6796,33,3,9.09
232a6014e7b10cba61c6c2b2ea6bb4b0,33,3,9.09
c9aafcd0621b2207c10e32c649cada4d,44,4,9.09
974cf2cb8f4b7add98709c30df02fe10,33,3,9.09
4a3ccda38b2129705f3fb522db62ca31,66,6,9.09
0adac9fbd9a2b63cccaac4f8756c1ca8,110,10,9.09
58f1a6197ed863543e0136bdedb3fce2,44,4,9.09
92eb0f42c21942b6552362b9b114707d,341,31,9.09
6f892e20a171e98efe17fdb971ff319b,44,4,9.09
9f505651f4a6abe901a56cdc21508025,397,36,9.07
6560211a19b47992c3666cc44a7e94c0,1854,167,9.01
8cbac7e12637ed9cffa18c7875207478,67,6,8.96
17f51e7198701186712e53a39c564617,56,5,8.93
7d456afc660226829370f3173d14520c,56,5,8.93
c68fb906c8f4b4b946d8386bfa6e5467,45,4,8.89
1b4c3a6f53068f0b6944d2d005c9fc89,113,10,8.85
e9779976487b77c6d4ac45f75ec7afe9,657,58,8.83
5b179e9e8cc7ab6fd113a46ca584da81,34,3,8.82
e333046ce6517bd8bb510291d44f0130,68,6,8.82
0241d4d5d36f10f80c644447315af0bd,238,21,8.82
432c37c9dfba871172ec162e20118b8c,46,4,8.7
65febd49fd28ec955651299159b1f527,35,3,8.57
93dc87703c046b603023e75222018b45,35,3,8.57
d50d79cb34e38265a8649c383dcffd48,70,6,8.57
6a0cbc8af2e8abd1bdfb777943d174c6,35,3,8.57
8bb48dc19fccaa8613b6229bf7f452a2,82,7,8.54
ef0ace09169ac090589d85746e3e036f,129,11,8.53
5d0363b33554b373851fc1622e4d5f3c,94,8,8.51
cbd996ad3c1b7dc71fd0e5f5df9087e2,165,14,8.48
688756f717c462a206ad854c5027a64a,83,7,8.43
3be634553519fb6536a03e1358e9fdc7,83,7,8.43
31561f325664a8a7aba4c8d0c3a9b3db,36,3,8.33
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,36,3,8.33
e8f6dc8e6a1dcde89d20e3995c8d90b3,36,3,8.33
d650b663c3b5f6fb392b6326366efa9a,60,5,8.33
ef506c96320abeedfb894c34db06f478,324,27,8.33
99002261c568a84cce14d43fcffb43ea,36,3,8.33
56642bcb79900e777d68e91915cb4267,48,4,8.33
26d8a1c7c75d513045798992ead43aa2,36,3,8.33
dbd66278cbfe1aa1000f90a217ca4695,85,7,8.24
004c9cd9d87a3c30c522c48c4fc07416,158,13,8.23
d91fb3b7d041e83b64a00a3edfb37e4f,535,44,8.22
4e17c65a516f69d023a2ae78b84f28d6,61,5,8.2
0c7533c71df861ec58ad7ff999ed0e8d,61,5,8.2
aced59e9b31ef866a94f9e7f29d8d418,61,5,8.2
058fd0aa2bfdb2274e05e1ae971dabb6,61,5,8.2
729b2d09b2a0bdab221076327f13d050,49,4,8.16
994f04b3718c2bab35c2adfa8afecd2a,49,4,8.16
7142540dd4c91e2237acb7e911c4eba2,319,26,8.15
594f9aaa48e5bf431f011ddc5669b0d5,37,3,8.11
a1043bafd471dff536d0c462352beb48,718,58,8.08
2528513dd95219a6013d4d05176e391a,161,13,8.07
b6d44737c043328708f6749c2dbe50bd,62,5,8.06
7a241947449cc45dbfda4f9d0798d9d0,62,5,8.06
