feature,abs_coefficient
feature_323,0.0986844044835573
feature_254,0.09858489194702294
feature_089,0.09759999049269842
feature_351,0.09677471990730353
feature_117,0.09530745371967962
feature_559,0.09490055576981403
feature_363,0.0947114298214296
feature_123,0.09436288686448725
feature_290,0.09351519542743184
feature_225,0.09333062834544205
feature_555,0.09298530438860347
feature_023,0.09288202206597498
feature_154,0.09239220035674454
feature_413,0.09190154073618112
feature_526,0.09137749089808715
feature_008,0.09076031623219803
feature_586,0.0907215750929314
feature_497,0.09055996104759219
feature_018,0.0905538924053591
feature_002,0.08995698723536656
feature_333,0.08945704548272625
feature_120,0.08890162541121993
feature_427,0.08888874097831931
feature_114,0.08828224732189993
feature_006,0.08742327732934675
feature_188,0.08645355872143555
feature_474,0.08610858514190385
feature_357,0.08571681500187886
feature_318,0.08485592018081704
feature_405,0.08450789191539786
feature_016,0.08411296863844119
feature_494,0.0829668296580656
feature_096,0.08261119738124181
feature_098,0.0821482573809517
feature_162,0.08208022948456471
feature_344,0.0814556606824269
feature_034,0.08071658299290452
feature_036,0.080704921166033
feature_353,0.08040018814055627
feature_457,0.07930176532211006
feature_170,0.07905496021482852
feature_212,0.07889527467224454
feature_076,0.07885264471755228
feature_218,0.07820061019799664
feature_452,0.07810344492181463
feature_238,0.07733281656137177
feature_224,0.07695752225018156
feature_210,0.07658412225772823
feature_269,0.07500676198648949
feature_480,0.07500328795070602
feature_391,0.07494603799282717
feature_017,0.07471766760537785
feature_421,0.07219020491607701
feature_148,0.07191882908174176
feature_430,0.07154653500400592
feature_472,0.07121791553295843
feature_432,0.0710699809599397
feature_482,0.07054721804022622
feature_272,0.07037583827009207
feature_176,0.07024939681161915
feature_441,0.06989590076483378
feature_393,0.06915084663875673
feature_310,0.06908083722640364
feature_282,0.06737162695555002
feature_433,0.06732824315821555
feature_549,0.0671809799717828
feature_434,0.06688422341421595
feature_355,0.06673636390291712
feature_153,0.06632131736531265
feature_207,0.06621141682646173
feature_182,0.06574585843662373
feature_447,0.06531586575155891
feature_167,0.06508314395128709
feature_223,0.06472775026697414
feature_352,0.06468757694736191
feature_055,0.0636647397517737
feature_487,0.06355745614377481
feature_426,0.0618817941500049
feature_324,0.061154809220363954
feature_500,0.0608545906602073
feature_303,0.0608471256606594
feature_146,0.060526868946781505
feature_575,0.05991280317470682
feature_277,0.0592146901878735
feature_180,0.05875339135787696
feature_283,0.0583866419902546
feature_081,0.05791299688532131
feature_133,0.057455448090355805
feature_219,0.05741663836498101
feature_208,0.05695137325082037
feature_039,0.05587496879276553
feature_107,0.055016876950608695
feature_570,0.05456734037250783
feature_362,0.05377065206875219
feature_015,0.053764268389504405
feature_217,0.052908846806986556
feature_019,0.05259136077610557
feature_135,0.05259114950021751
feature_270,0.05212259614622083
feature_317,0.051218766225708104
feature_063,0.05090805401312405
feature_184,0.05090496942554267
feature_199,0.050426618603805436
feature_566,0.05013831199798987
feature_467,0.05005772337579691
feature_565,0.049451796995298135
feature_320,0.0475959753652587
feature_335,0.04729623246264106
feature_181,0.047202902247877876
feature_171,0.04705500803995199
feature_279,0.04679378682642886
feature_569,0.0467046371135988
feature_195,0.04612035773938756
feature_289,0.046117349557857824
feature_408,0.04407825606669492
feature_161,0.043964583305824284
feature_499,0.043629378920700956
feature_306,0.04348023485828387
feature_525,0.04315181894787582
feature_392,0.04288925210028243
feature_185,0.04249055507535221
feature_095,0.04223259970602413
feature_126,0.042222973062326086
feature_309,0.04134670857404367
feature_307,0.041289197843298396
feature_552,0.04115822958460005
feature_278,0.0409333551088891
feature_561,0.04056953151996662
feature_248,0.04033369591956896
feature_339,0.03999151589763037
feature_520,0.0388999739019437
feature_354,0.03781162541512128
feature_147,0.03717606583430512
feature_250,0.0368078819046893
feature_159,0.036566301977264466
feature_051,0.036477608715578355
feature_287,0.03509979593771292
feature_105,0.03493918193688899
feature_296,0.03426547224275659
feature_412,0.03375878888929414
feature_406,0.03365477503223392
feature_583,0.03360043437041822
feature_527,0.03356151822462692
feature_301,0.03325183791962024
feature_572,0.03315903902925976
feature_376,0.03289666883554802
feature_297,0.03199943116704763
feature_222,0.03140412746342517
feature_573,0.031316110100050545
feature_093,0.031152970331222374
feature_291,0.030994576631206493
feature_106,0.02983961889504443
feature_541,0.028923404572627223
feature_152,0.028851901097407002
feature_336,0.028693463525387743
feature_453,0.027931324517775094
feature_100,0.02779918022518466
feature_082,0.027679707391805912
feature_409,0.027463562117289297
feature_128,0.0273412068903516
feature_136,0.027288715072409434
feature_125,0.027028992715505268
feature_479,0.02646629066858637
feature_420,0.02573834600800087
feature_585,0.024744410143005494
feature_407,0.024312427881562126
feature_366,0.024051558421058442
feature_475,0.02394702887245723
feature_253,0.0231438496606179
feature_203,0.022242022110788198
feature_197,0.021823009153340057
feature_255,0.020229530126841498
feature_436,0.01984013623201571
feature_522,0.019604369542047535
feature_347,0.01804925564053099
feature_206,0.018049255640530965
feature_478,0.01804925564053096
feature_342,0.01804925564053095
feature_209,0.018049255640530736
feature_074,0.018049255640530674
feature_144,0.01771988585564096
feature_386,0.017234699906952925
feature_417,0.01532524527525579
feature_468,0.013082208683174749
feature_469,0.012925271135715786
feature_446,0.012867846958319624
feature_343,0.012143591439428262
feature_410,0.0119383070340462
feature_429,0.011718202696748045
feature_576,0.01124718696516948
feature_524,0.010861239833912314
feature_156,0.010816690554105123
feature_435,0.01081371966388622
feature_227,0.01014678764622389
feature_275,0.010029776531476513
feature_004,0.009949115589735519
feature_140,0.009938470534432132
feature_137,0.008644133004234278
feature_496,0.00847113494440942
feature_175,0.0077205717489472435
feature_267,0.007646119096937767
feature_588,0.007221198638870643
feature_544,0.0065103998116849745
